band,time_s,avg_density,avg_blp,avg_corr,smoothing_sec,corr_window_sec,window_length_sec,sampling_rate,corr_threshold
alpha,61.0,0.5730890219476741,7.37453592591919e-06,0.8385238033217569,1,5,0.25,1024,0.82
alpha,62.0,0.8311785586765472,6.609614501940087e-06,0.4492203089365184,1,5,0.25,1024,0.82
alpha,63.0,0.6161466419684251,6.559278517670464e-06,0.169341214612724,1,5,0.25,1024,0.82
alpha,64.0,0.588708612878755,7.031215318420436e-06,0.3775002345235314,1,5,0.25,1024,0.82
alpha,65.0,0.44046439420474115,7.584357717860257e-06,0.5490549870475009,1,5,0.25,1024,0.82
alpha,66.0,0.8002876671451223,7.979904694366269e-06,0.5350045341308773,1,5,0.25,1024,0.82
alpha,67.0,0.7406772037723139,8.171879017027095e-06,0.3301542996102219,1,5,0.25,1024,0.82
alpha,68.0,0.12515192594117383,8.0805693869479e-06,0.1526150219712747,1,5,0.25,1024,0.82
alpha,69.0,0.8176074279536552,7.723650014668237e-06,0.1765244987876718,1,5,0.25,1024,0.82
alpha,70.0,0.8203054555974619,7.415219442918897e-06,0.1531683025974195,1,5,0.25,1024,0.82
alpha,71.0,0.8640864505573915,7.335023838095367e-06,0.0971377312315719,1,5,0.25,1024,0.82
alpha,72.0,0.380836914635851,7.426593128911918e-06,0.1145766830835507,1,5,0.25,1024,0.82
alpha,73.0,0.7668007556367588,7.72946350480197e-06,0.1773619398317877,1,5,0.25,1024,0.82
alpha,74.0,0.8870260738182586,8.19336582935648e-06,0.078024356657749,1,5,0.25,1024,0.82
alpha,75.0,0.43511365073105823,8.604421964264475e-06,0.032527569917212,1,5,0.25,1024,0.82
alpha,76.0,0.24482206979395235,8.708727364137303e-06,0.145472621064872,1,5,0.25,1024,0.82
alpha,77.0,0.41961934393473066,8.567733857489657e-06,0.3056247528586215,1,5,0.25,1024,0.82
alpha,78.0,0.27072977664006653,8.363589586224407e-06,0.2750506320124408,1,5,0.25,1024,0.82
alpha,79.0,0.6656344569393268,8.210314263124019e-06,0.1909268151695899,1,5,0.25,1024,0.82
alpha,80.0,0.391991814727476,8.064458597800694e-06,0.1690060104092447,1,5,0.25,1024,0.82
alpha,81.0,0.8434154507608043,7.926360922283493e-06,0.2997395459909257,1,5,0.25,1024,0.82
alpha,82.0,0.2069979313942118,7.988348443177529e-06,0.2771036025959997,1,5,0.25,1024,0.82
alpha,83.0,0.5955135358179472,8.313594662467949e-06,0.3053616864404479,1,5,0.25,1024,0.82
alpha,84.0,0.7747863666016968,8.76199464983074e-06,0.4201001428606187,1,5,0.25,1024,0.82
alpha,85.0,0.6588744430001582,9.30607711779885e-06,0.5533273646774767,1,5,0.25,1024,0.82
alpha,86.0,0.515643240847236,1.0166935680899767e-05,0.6354686633090996,1,5,0.25,1024,0.82
alpha,87.0,0.8644389473026945,1.117585998144932e-05,0.4751324298442493,1,5,0.25,1024,0.82
alpha,88.0,0.1901675689704776,1.16099417937221e-05,0.2810526429806066,1,5,0.25,1024,0.82
alpha,89.0,0.2518476863890474,1.12809102574829e-05,0.6102568224104298,1,5,0.25,1024,0.82
alpha,90.0,0.9596883652410415,1.0888057659030892e-05,0.6554688384936994,1,5,0.25,1024,0.82
alpha,91.0,0.9783681862999265,1.091224385163514e-05,0.5178956816802666,1,5,0.25,1024,0.82
alpha,92.0,0.5566400971143756,1.1063657439080998e-05,0.4503039115459448,1,5,0.25,1024,0.82
alpha,97.65625,0.44819363676234203,9.353035238746088e-06,0.0387120482683398,1,5,0.25,1024,0.82
alpha,98.65625,0.474032850636824,9.09775735635776e-06,0.0536731240140521,1,5,0.25,1024,0.82
alpha,99.65625,0.3902827336678819,8.764519407122862e-06,0.2628660805615664,1,5,0.25,1024,0.82
alpha,100.65625,0.6745597971899228,8.441512363788206e-06,0.5256062042596946,1,5,0.25,1024,0.82
alpha,101.65625,0.4663721607007735,8.069533578236587e-06,0.5541931632252352,1,5,0.25,1024,0.82
alpha,102.65625,0.33135343554941676,7.675311280763708e-06,0.3155332933769772,1,5,0.25,1024,0.82
alpha,103.65625,0.6889225248683895,7.3329429142177105e-06,0.1615569345910171,1,5,0.25,1024,0.82
alpha,104.65625,0.6236130718613204,7.036117494862992e-06,0.3526688738690559,1,5,0.25,1024,0.82
alpha,105.65625,0.2723616350384622,6.71960151521489e-06,0.6227445945393769,1,5,0.25,1024,0.82
alpha,106.65625,0.3550931300633462,6.321056389424484e-06,0.7374768241768077,1,5,0.25,1024,0.82
alpha,107.65625,0.6204357301283694,5.888682608201634e-06,0.623832556426188,1,5,0.25,1024,0.82
