Time Window,Focus (Temporal),Focus (Spatial),LA1,LA2,LA3,LMH1,LMH2,LMH3,RA1,RA3,RMH1,RMH2,RMH3,LA1-LA2,LA2-LA3,LA3-LA4,LMH1-LMH2,LMH2-LMH3,LMH3-LMH4,RA1-RA3,RA3-RA4,RMH1-RMH2,RMH2-RMH3,RMH3-RMH4
119.5 - 119.75,119.62,RA1,,,,,,,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI,,,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI
120.0 - 120.25,120.12,RMH2,,,,,,,,,,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI,,,,,,,,,AUTO_DETECT_MULTI,,
122.25 - 122.5,122.38,RMH2,,,,,,,,,,AUTO_DETECT_MULTI,,,,,,,,,,,,
123.0 - 123.25,123.12,RMH2,,,,,,,,,,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI,,,,,,,,,,,
123.25 - 123.5,123.38,RA1,,,,,,,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI,,,,AUTO_DETECT_MULTI,,,,,,,AUTO_DETECT_MULTI,,,
124.0 - 124.25,124.12,RMH3,,,,,,,,,,,AUTO_DETECT_MULTI,,,,,,,,,,,AUTO_DETECT_MULTI
124.5 - 124.75,124.62,RA1,,,,,,,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI,,,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI
124.75 - 125.0,124.88,RMH1,,,,,,,,,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI,,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI,,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI,
125.25 - 125.5,125.38,RMH1,,,,,,,,,AUTO_DETECT_MULTI,,,,,,,,,,,AUTO_DETECT_MULTI,,
125.5 - 125.75,125.62,RA3,,,,,,,,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI,,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI,,,AUTO_DETECT_MULTI,,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI,
125.75 - 126.0,125.88,RMH1,,,,,,,,,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI,,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI,,,AUTO_DETECT_MULTI,,AUTO_DETECT_MULTI
126.0 - 126.25,126.12,RMH2,,,,,,,,,,AUTO_DETECT_MULTI,,,,,,,,,,,,
126.25 - 126.5,126.38,RMH2,,,,,,,,,,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI,,,,,,,,,,,
128.0 - 128.25,128.12,RMH3-RMH4,,,,,,,,,,,,,,,,,,,,,,AUTO_DETECT_MULTI
129.5 - 129.75,129.62,LA2,,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI,,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI,,,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI
131.0 - 131.25,131.12,RA1,,,,,,,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI,,,,,,,,,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI,,,
131.25 - 131.5,131.38,RMH2,,,,,,,,,,AUTO_DETECT_MULTI,,,,,,,,,,,,
132.25 - 132.5,132.38,LMH1,,,,AUTO_DETECT_MULTI,,,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI,,,,,,,,,,,AUTO_DETECT_MULTI,,,
134.5 - 134.75,134.62,RA3,,,,,,,,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI,,,,,,,,,,,,
134.75 - 135.0,134.88,LMH3,,,,,,AUTO_DETECT_MULTI,,,,,,,,,,,AUTO_DETECT_MULTI,,,,,
135.0 - 135.25,135.12,LMH2,,,,,AUTO_DETECT_MULTI,,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI,,,,,,AUTO_DETECT_MULTI,,,AUTO_DETECT_MULTI,,AUTO_DETECT_MULTI,,,AUTO_DETECT_MULTI
136.25 - 136.5,136.38,RMH2,,,,,,,,,,AUTO_DETECT_MULTI,,,,,,,,,,,,
137.0 - 137.25,137.12,LMH3,,,,,,AUTO_DETECT_MULTI,,,,,,,,,,,AUTO_DETECT_MULTI,,,AUTO_DETECT_MULTI,,
137.75 - 138.0,137.88,LMH1,,,,AUTO_DETECT_MULTI,,,,,,,,,,,,,,,,,,
138.5 - 138.75,138.62,RMH2,,,,,,,,,,AUTO_DETECT_MULTI,,,,,,,,,,,,
141.0 - 141.25,141.12,RA1,,,,,,,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI,,,,,,,,,,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI,,
141.25 - 141.5,141.38,LA1,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI,,,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI,,,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI
141.5 - 141.75,141.62,RA1,,,,,,,AUTO_DETECT_MULTI,,,,,,,,,,,,,,,
141.75 - 142.0,141.88,RA1,,,,,,,AUTO_DETECT_MULTI,,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI,,,,,,,,AUTO_DETECT_MULTI,,,AUTO_DETECT_MULTI,
142.25 - 142.5,142.38,RA1-RA3,,,,,,,,,,,,,,,,,,AUTO_DETECT_MULTI,,,,
142.5 - 142.75,142.62,LA1,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI,,,,,,,,,,,,,,,,,,,,
143.25 - 143.5,143.38,LA3,,,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI,,,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI,,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI
143.5 - 143.75,143.62,RMH2,,,,,,,,,,AUTO_DETECT_MULTI,,,,,,,,,,,,
144.0 - 144.25,144.12,LMH3-LMH4,,,,,,,,,,,,,,,,,AUTO_DETECT_MULTI,,,,,
144.25 - 144.5,144.38,LMH3,,,,,,AUTO_DETECT_MULTI,,,,,,,,,,,AUTO_DETECT_MULTI,,,,,
144.5 - 144.75,144.62,LMH3,,,,,,AUTO_DETECT_MULTI,,,,,,,,,,,AUTO_DETECT_MULTI,,,,,AUTO_DETECT_MULTI
144.75 - 145.0,144.88,LA2-LA3,,,,,,,,,,,,,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI,,,AUTO_DETECT_MULTI,,,,,
145.0 - 145.25,145.12,RMH2,,,,,,,,,,AUTO_DETECT_MULTI,,,,,,,,,,,,
145.5 - 145.75,145.62,LMH3,,,,,,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI,,,,,,,,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI
145.75 - 146.0,145.88,LMH2,,,,,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI,,,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI,,,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI,,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI,,,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI,
146.0 - 146.25,146.12,RMH2,,,,,,,,,,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI,,,,,,,,,,,
147.0 - 147.25,147.12,RA3,,,,,,,,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI,,,,,,,,,,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI,,
147.75 - 148.0,147.88,LA1,AUTO_DETECT_MULTI,,,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI,,,,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI,,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI
148.0 - 148.25,148.12,LA1,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI
149.0 - 149.25,149.12,LMH2,,,,,AUTO_DETECT_MULTI,,,,,,,,,,,,,,,,,
149.5 - 149.75,149.62,RMH2,,,,,,,,,,AUTO_DETECT_MULTI,,,,,,,,,,,,
150.25 - 150.5,150.38,RA1,,,,,,,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI,,,,,,,,,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI,
150.75 - 151.0,150.88,LA1,AUTO_DETECT_MULTI,,,,,,,,,,,,,,,,,,,,,
151.0 - 151.25,151.12,RA3,,,,,,,,AUTO_DETECT_MULTI,,,,,,,,,,,,,,
152.5 - 152.75,152.62,LMH3,,,,,,AUTO_DETECT_MULTI,,,,,,,,,,,,,,,,
153.75 - 154.0,153.88,LA2,,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI,,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI,,,,,,,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI,,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI
154.0 - 154.25,154.12,RMH2-RMH3,,,,,,,,,,,,,,,,,,,,,AUTO_DETECT_MULTI,
154.75 - 155.0,154.88,RMH1,,,,,,,,,AUTO_DETECT_MULTI,,,,,,,,,,,AUTO_DETECT_MULTI,,
155.0 - 155.25,155.12,LMH3,,,,,,AUTO_DETECT_MULTI,,,,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI,,,,,,,,,AUTO_DETECT_MULTI,,
155.25 - 155.5,155.38,LMH2,,,,,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI,,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI
155.5 - 155.75,155.62,LA3,,,AUTO_DETECT_MULTI,,,,,,,,AUTO_DETECT_MULTI,,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI,,,,,,,,AUTO_DETECT_MULTI
157.25 - 157.5,157.38,RA1,,,,,,,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI,,,,,,,,,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI,,,
157.75 - 158.0,157.88,RA1,,,,,,,AUTO_DETECT_MULTI,,,,,,,,,,,,,,,
