band,time_s,avg_density,avg_blp,avg_corr,smoothing_sec,corr_window_sec,window_length_sec,sampling_rate,corr_threshold
alpha,65.0,0.0,7.584357717860257e-06,0.5490549870475009,1,5,0.25,1024,0.82
alpha,66.0,0.0,7.979904694366269e-06,0.5350045341308773,1,5,0.25,1024,0.82
alpha,67.0,0.0,8.171879017027095e-06,0.33015429961022197,1,5,0.25,1024,0.82
alpha,68.0,0.0,8.0805693869479e-06,0.1526150219712747,1,5,0.25,1024,0.82
alpha,69.0,0.0,7.723650014668237e-06,0.17652449878767187,1,5,0.25,1024,0.82
alpha,70.0,0.0,7.415219442918897e-06,0.1531683025974195,1,5,0.25,1024,0.82
alpha,71.0,0.0,7.335023838095367e-06,0.09713773123157195,1,5,0.25,1024,0.82
alpha,72.0,0.0,7.426593128911918e-06,0.11457668308355072,1,5,0.25,1024,0.82
alpha,73.0,0.0,7.72946350480197e-06,0.17736193983178775,1,5,0.25,1024,0.82
alpha,74.0,0.0,8.19336582935648e-06,0.07802435665774905,1,5,0.25,1024,0.82
alpha,75.0,0.0,8.604421964264475e-06,0.03252756991721205,1,5,0.25,1024,0.82
alpha,76.0,0.0,8.708727364137303e-06,0.14547262106487202,1,5,0.25,1024,0.82
alpha,77.0,0.0,8.567733857489657e-06,0.3056247528586215,1,5,0.25,1024,0.82
alpha,78.0,0.0,8.363589586224407e-06,0.27505063201244084,1,5,0.25,1024,0.82
alpha,79.0,0.0,8.210314263124019e-06,0.19092681516958995,1,5,0.25,1024,0.82
alpha,80.0,0.0,8.064458597800694e-06,0.16900601040924476,1,5,0.25,1024,0.82
alpha,81.0,0.0,7.926360922283493e-06,0.2997395459909257,1,5,0.25,1024,0.82
alpha,82.0,0.0,7.988348443177529e-06,0.2771036025959997,1,5,0.25,1024,0.82
alpha,83.0,0.0,8.313594662467949e-06,0.3053616864404479,1,5,0.25,1024,0.82
alpha,84.0,0.0,8.76199464983074e-06,0.4201001428606187,1,5,0.25,1024,0.82
alpha,85.0,0.0,9.30607711779885e-06,0.5533273646774767,1,5,0.25,1024,0.82
alpha,86.0,0.0,1.0166935680899769e-05,0.6354686633090996,1,5,0.25,1024,0.82
alpha,87.0,0.0,1.1175859981449321e-05,0.47513242984424936,1,5,0.25,1024,0.82
alpha,88.0,0.0,1.16099417937221e-05,0.2810526429806066,1,5,0.25,1024,0.82
alpha,89.0,0.0,1.1280910257482901e-05,0.6102568224104298,1,5,0.25,1024,0.82
alpha,90.0,0.0,1.0888057659030892e-05,0.6554688384936994,1,5,0.25,1024,0.82
alpha,91.0,0.0,1.091224385163514e-05,0.5178956816802666,1,5,0.25,1024,0.82
alpha,92.0,0.0,1.1063657439080998e-05,0.4503039115459448,1,5,0.25,1024,0.82
alpha,97.65625,0.0,9.353035238746088e-06,0.03871204826833983,1,5,0.25,1024,0.82
alpha,98.65625,0.0,9.09775735635776e-06,0.053673124014052165,1,5,0.25,1024,0.82
alpha,99.65625,0.0,8.764519407122862e-06,0.26286608056156646,1,5,0.25,1024,0.82
alpha,100.65625,0.0,8.441512363788206e-06,0.5256062042596946,1,5,0.25,1024,0.82
alpha,101.65625,0.0,8.069533578236587e-06,0.5541931632252352,1,5,0.25,1024,0.82
alpha,102.65625,0.0,7.675311280763708e-06,0.3155332933769772,1,5,0.25,1024,0.82
alpha,103.65625,0.0,7.3329429142177105e-06,0.16155693459101717,1,5,0.25,1024,0.82
alpha,104.65625,0.0,7.036117494862992e-06,0.35266887386905593,1,5,0.25,1024,0.82
alpha,105.65625,0.0,6.71960151521489e-06,0.6227445945393769,1,5,0.25,1024,0.82
alpha,106.65625,0.0,6.321056389424484e-06,0.7374768241768077,1,5,0.25,1024,0.82
alpha,107.65625,0.0,5.888682608201634e-06,0.623832556426188,1,5,0.25,1024,0.82
alpha,108.65625,0.0,5.605025762633886e-06,0.37998450162338493,1,5,0.25,1024,0.82
alpha,109.65625,0.0,5.59194631932769e-06,0.46613929565694345,1,5,0.25,1024,0.82
alpha,110.65625,0.0,6.028476946084993e-06,0.6687377582657066,1,5,0.25,1024,0.82
alpha,111.65625,0.0,7.094537977536675e-06,0.6888324950328022,1,5,0.25,1024,0.82
alpha,112.65625,0.0,8.282960152428132e-06,0.6412825503878044,1,5,0.25,1024,0.82
alpha,113.65625,0.0,8.956320925790351e-06,0.574226228028257,1,5,0.25,1024,0.82
alpha,114.65625,0.0,9.236637197318487e-06,0.44125078403326246,1,5,0.25,1024,0.82
alpha,115.65625,0.0,9.422675248060841e-06,0.46486398775885823,1,5,0.25,1024,0.82
alpha,116.65625,0.0,9.709229743748438e-06,0.6719536792654701,1,5,0.25,1024,0.82
alpha,117.65625,0.0,1.0382816071796697e-05,0.912325808516572,1,5,0.25,1024,0.82
alpha,118.65625,0.0,1.130669807025697e-05,0.9325465522565931,1,5,0.25,1024,0.82
alpha,119.65625,0.0,1.1906106919923332e-05,0.828562784199743,1,5,0.25,1024,0.82
alpha,120.65625,0.0,1.2016212167509366e-05,0.7354102743018692,1,5,0.25,1024,0.82
alpha,121.65625,0.0,1.1660149539238773e-05,0.655786882449075,1,5,0.25,1024,0.82
alpha,122.65625,0.0,1.0887242751778103e-05,0.46128702297113083,1,5,0.25,1024,0.82
alpha,123.65625,0.0,1.0183632184634916e-05,0.15804462896460225,1,5,0.25,1024,0.82
alpha,124.65625,0.0,9.830457202042453e-06,0.11457823519947326,1,5,0.25,1024,0.82
alpha,125.65625,0.0,9.58510827331338e-06,0.13781784370818234,1,5,0.25,1024,0.82
alpha,126.65625,0.0,9.260844308300875e-06,0.1660294608136487,1,5,0.25,1024,0.82
alpha,127.65625,0.0,8.928248462325428e-06,0.19697521843103102,1,5,0.25,1024,0.82
alpha,128.65625,0.0,8.644548870506696e-06,0.2941544392977401,1,5,0.25,1024,0.82
alpha,129.65625,0.0,8.507636266585905e-06,0.46171374786953046,1,5,0.25,1024,0.82
alpha,130.65625,0.0,8.376834557566326e-06,0.6201566819084021,1,5,0.25,1024,0.82
alpha,131.65625,0.0,8.099954357021488e-06,0.5156580833669923,1,5,0.25,1024,0.82
alpha,132.65625,0.0,8.201262062357273e-06,0.3799020042946338,1,5,0.25,1024,0.82
alpha,133.65625,0.0,8.9225914052804e-06,0.46143958654515965,1,5,0.25,1024,0.82
alpha,134.65625,0.0,9.74825888988562e-06,0.586590218308378,1,5,0.25,1024,0.82
alpha,135.65625,0.0,1.0634083082550205e-05,0.642862304910975,1,5,0.25,1024,0.82
alpha,136.65625,0.0,1.1593501767492853e-05,0.39306679609589706,1,5,0.25,1024,0.82
alpha,137.65625,0.0,1.2172643437224906e-05,0.05762479138805101,1,5,0.25,1024,0.82
alpha,138.65625,0.0,1.2370737749733962e-05,0.003202124195358354,1,5,0.25,1024,0.82
alpha,139.65625,0.0,1.284354402741883e-05,-0.023524250709631433,1,5,0.25,1024,0.82
alpha,140.65625,0.0,1.3171459613658953e-05,0.11810791852922183,1,5,0.25,1024,0.82
alpha,141.65625,0.0,1.283641904592514e-05,0.4653701887061298,1,5,0.25,1024,0.82
alpha,142.65625,0.0,1.2050209079461638e-05,0.7883412229796826,1,5,0.25,1024,0.82
alpha,143.65625,0.0,1.096310188586358e-05,0.897250199333531,1,5,0.25,1024,0.82
alpha,144.65625,0.0,9.733276783663314e-06,0.7923197729777238,1,5,0.25,1024,0.82
alpha,145.65625,0.0,9.120810318563599e-06,0.5308267159765723,1,5,0.25,1024,0.82
alpha,146.65625,0.0,9.433928426005878e-06,0.6129527530190312,1,5,0.25,1024,0.82
alpha,147.65625,0.0,1.0001514965551905e-05,0.6873667118692705,1,5,0.25,1024,0.82
alpha,148.65625,0.0,1.0389984709036071e-05,0.7365018731783052,1,5,0.25,1024,0.82
alpha,149.65625,0.0,1.045731460180832e-05,0.7661195883131064,1,5,0.25,1024,0.82
alpha,150.65625,0.0,1.0033823855337687e-05,0.8845785209064392,1,5,0.25,1024,0.82
alpha,151.65625,0.0,9.19369085750077e-06,0.8469620037081584,1,5,0.25,1024,0.82
alpha,152.65625,0.0,8.411616363446228e-06,0.5934357958410624,1,5,0.25,1024,0.82
alpha,153.65625,0.0,8.151820111379493e-06,0.16108286154995333,1,5,0.25,1024,0.82
alpha,154.65625,0.0,8.203160177799873e-06,0.17103506921536843,1,5,0.25,1024,0.82
alpha,155.65625,0.0,8.109022928692866e-06,0.2490028285947627,1,5,0.25,1024,0.82
alpha,156.65625,0.0,7.815530807420146e-06,0.4798858196160182,1,5,0.25,1024,0.82
alpha,157.65625,0.0,7.525237833760912e-06,0.6078068598615357,1,5,0.25,1024,0.82
alpha,158.65625,0.0,7.220736733870581e-06,0.6378415475623833,1,5,0.25,1024,0.82
alpha,159.65625,0.0,6.926542027940741e-06,0.4153101079752163,1,5,0.25,1024,0.82
alpha,160.65625,0.0,7.054606157907983e-06,0.3569819940535023,1,5,0.25,1024,0.82
alpha,161.65625,0.0,8.075507139437832e-06,0.7693973986690154,1,5,0.25,1024,0.82
alpha,162.65625,0.0,9.674789907876402e-06,0.911735977922849,1,5,0.25,1024,0.82
alpha,163.65625,0.0,1.1216787243029103e-05,0.8844828010303435,1,5,0.25,1024,0.82
alpha,164.65625,0.0,1.2695057193923276e-05,0.7959862187021121,1,5,0.25,1024,0.82
alpha,165.65625,0.0,1.4106141861702781e-05,0.44926232272325806,1,5,0.25,1024,0.82
alpha,166.65625,0.0,1.4818028830632102e-05,0.06353397531471866,1,5,0.25,1024,0.82
alpha,167.65625,0.0,1.4643548638559878e-05,0.04775731123599394,1,5,0.25,1024,0.82
alpha,168.65625,0.0,1.4114145415078383e-05,0.0973230315182835,1,5,0.25,1024,0.82
alpha,169.65625,0.0,1.3405455320025794e-05,0.10171238284724296,1,5,0.25,1024,0.82
alpha,170.65625,0.0,1.2156950106145814e-05,0.30894403545572424,1,5,0.25,1024,0.82
alpha,171.65625,0.0,1.0308282071491703e-05,0.7940480677693479,1,5,0.25,1024,0.82
